
[2025-01-29T13:08:47.213Z], INFO: Info message 
[2025-01-29T13:32:15.788Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:8:14 
[2025-01-29T13:32:25.794Z], INFO: 2025-01-29T13:32:25.794Z 
[2025-01-29T13:32:35.804Z], INFO: 2025-01-29T13:32:35.804Z 
[2025-01-29T13:32:45.812Z], INFO: 2025-01-29T13:32:45.812Z 
[2025-01-29T13:35:26.128Z], INFO: Info message 
[2025-01-29T13:35:26.131Z], ERROR: Error message 
[2025-01-29T13:35:26.131Z], WARNING: Warning message 
[2025-01-29T13:35:26.131Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:8:14 
[2025-01-29T13:35:36.148Z], INFO: 2025-01-29T13:35:36.148Z 
[2025-01-29T13:35:46.152Z], INFO: 2025-01-29T13:35:46.151Z 
[2025-01-29T13:35:56.162Z], INFO: 2025-01-29T13:35:56.160Z 
[2025-01-29T13:36:06.162Z], INFO: 2025-01-29T13:36:06.162Z 
[2025-01-29T13:36:16.176Z], INFO: 2025-01-29T13:36:16.176Z 
[2025-01-29T13:36:26.181Z], INFO: 2025-01-29T13:36:26.180Z 
[2025-01-29T13:36:36.195Z], INFO: 2025-01-29T13:36:36.194Z 
[2025-01-29T13:36:46.209Z], INFO: 2025-01-29T13:36:46.208Z 
[2025-01-29T13:36:56.210Z], INFO: 2025-01-29T13:36:56.209Z 
[2025-01-29T13:37:06.215Z], INFO: 2025-01-29T13:37:06.215Z 
[2025-01-29T13:37:16.225Z], INFO: 2025-01-29T13:37:16.225Z 
[2025-01-29T13:37:26.233Z], INFO: 2025-01-29T13:37:26.232Z 
[2025-01-29T13:37:36.235Z], INFO: 2025-01-29T13:37:36.235Z 
[2025-01-29T13:37:46.238Z], INFO: 2025-01-29T13:37:46.237Z 
[2025-01-29T14:12:56.326Z], INFO: Info message 
[2025-01-29T14:12:56.328Z], ERROR: Error message 
[2025-01-29T14:12:56.328Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:8:14 
[2025-01-29T14:12:56.328Z], WARNING: Warning message 
[2025-01-29T14:13:06.340Z], INFO: 2025-01-29T14:13:06.339Z 
[2025-01-29T14:59:28.691Z], INFO: Info message 
[2025-01-29T14:59:28.693Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:8:14 
[2025-01-29T14:59:28.693Z], WARNING: Warning message 
[2025-01-29T14:59:28.693Z], ERROR: Error message 
[2025-01-29T14:59:41.423Z], INFO: Info message 
[2025-01-29T14:59:41.425Z], ERROR: Error message 
[2025-01-29T14:59:41.425Z], WARNING: Warning message 
[2025-01-29T14:59:41.425Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:8:14 
[2025-01-29T15:20:42.695Z], INFO: Info message 
[2025-01-29T15:20:42.697Z], ERROR: Error message 
[2025-01-29T15:20:42.697Z], WARNING: Warning message 
[2025-01-29T15:20:42.697Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:8:14 
[2025-01-30T08:05:51.773Z], INFO: Info message 
[2025-01-30T08:05:51.785Z], WARNING: Warning message 
[2025-01-30T08:05:51.785Z], ERROR: Error message 
[2025-01-30T08:05:51.785Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:8:14 
[2025-01-30T08:09:59.735Z], INFO: Info message 
[2025-01-30T08:09:59.737Z], WARNING: Warning message 
[2025-01-30T08:09:59.737Z], ERROR: Error message 
[2025-01-30T08:09:59.738Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:8:14 
[2025-01-30T08:10:47.618Z], WARNING: Warning message 
[2025-01-30T08:10:47.618Z], ERROR: Error message 
[2025-01-30T08:10:47.616Z], INFO: Info message 
[2025-01-30T08:10:47.618Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14 
[2025-02-01T11:36:42.528Z], INFO: Info message 
[2025-02-01T11:36:42.530Z], WARNING: Warning message 
[2025-02-01T11:36:42.530Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14 
[2025-02-01T11:36:42.530Z], ERROR: Error message 
[2025-02-01T11:49:26.374Z], WARNING: Warning message 
[2025-02-01T11:49:26.375Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14 
[2025-02-01T11:49:26.374Z], ERROR: Error message 
[2025-02-01T11:49:26.371Z], INFO: Info message 
[2025-02-01T11:50:16.556Z], WARNING: Warning message 
[2025-02-01T11:50:16.556Z], ERROR: Error message 
[2025-02-01T11:50:16.557Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14 
[2025-02-01T11:50:16.551Z], INFO: Info message 
[2025-02-08T17:00:37.301Z], INFO: Info message
[2025-02-08T17:00:37.303Z], WARNING: Warning message
[2025-02-08T17:00:37.303Z], ERROR: Error message
[2025-02-08T17:00:37.303Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-08T17:05:49.904Z], [INFO] INFO: Info message
[2025-02-08T17:05:49.905Z], [WARNING] WARNING: Warning message
[2025-02-08T17:05:49.905Z], [ERROR] ERROR: Error message
[2025-02-08T17:05:49.906Z], [ERROR] ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-08T17:08:19.661Z], INFO: Info message
[2025-02-08T17:08:19.664Z], WARNING: Warning message
[2025-02-08T17:08:19.664Z], ERROR: Error message
[2025-02-08T17:08:19.665Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-08T17:08:49.215Z], INFO: Info message
[2025-02-08T17:08:49.217Z], WARNING: Warning message
[2025-02-08T17:08:49.218Z], ERROR: Error message
[2025-02-08T17:08:49.218Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-08T17:19:26.076Z], INFO: Info message
[2025-02-08T17:19:26.078Z], WARNING: Warning message
[2025-02-08T17:19:26.078Z], ERROR: Error message
[2025-02-08T17:19:26.079Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-08T17:21:59.740Z], INFO: Info message
[2025-02-08T17:21:59.742Z], WARNING: Warning message
[2025-02-08T17:21:59.742Z], ERROR: Error message
[2025-02-08T17:21:59.742Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-08T17:22:39.414Z], INFO: Info message
[2025-02-08T17:22:39.415Z], WARNING: Warning message
[2025-02-08T17:22:39.416Z], ERROR: Error message
[2025-02-08T17:22:39.416Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-08T17:24:46.352Z], INFO: Info message
[2025-02-08T17:24:46.354Z], WARNING: Warning message
[2025-02-08T17:24:46.354Z], ERROR: Error message
[2025-02-08T17:24:46.355Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-08T17:27:51.724Z], INFO: Info message
[2025-02-08T17:27:51.727Z], WARNING: Warning message
[2025-02-08T17:27:51.727Z], ERROR: Error message
[2025-02-08T17:27:51.728Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-08T17:28:23.264Z], INFO: Info message
[2025-02-08T17:28:23.266Z], WARNING: Warning message
[2025-02-08T17:28:23.267Z], ERROR: Error message
